,blink_rate,eye_contact_percentage,head_movement_frequency,emotion_stability,emotion_confidence
blink_rate,1.0,-0.1167368879855987,0.17357127938404504,-0.1532606268734507,-0.15100557775487494
eye_contact_percentage,-0.1167368879855987,1.0,-0.03345213136458891,0.002882788862023072,0.19071741128285902
head_movement_frequency,0.17357127938404504,-0.03345213136458891,1.0,0.006771373632029258,-0.123607875686538
emotion_stability,-0.1532606268734507,0.002882788862023072,0.006771373632029258,1.0,0.1761672503301301
emotion_confidence,-0.15100557775487494,0.19071741128285902,-0.123607875686538,0.1761672503301301,1.0
